,EIN,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Total
Alaska Center for the Blind and Visually Impaired,92-0108817,,1875.0,3050.0,5275.0,7840.0,10350.0,11725.0,11150.0,7722.0,6600.0,6000.0,71587.0
Alaska Center for the Performing Arts,92-0120733,,750.0,1675.0,2750.0,4778.0,3775.0,5400.0,2075.0,5711.0,,3275.0,30189.0
Alaska Chamber Singers,94-3073624,,825.0,1475.0,1775.0,2075.0,1925.0,1900.0,2000.0,1800.0,1825.0,1775.0,17375.0
Alaska Childrens Trust,91-1765129,,1225.0,600.0,1125.0,2550.0,2075.0,,6664.4,5450.0,5025.0,5198.2,29912.6
Alaska Chilkoot Bear Foundation,75-3225304,,,,,,475.0,,300.0,550.0,375.0,400.0,2100.0
Alaska Christian College,92-0174205,,,,,5257.0,7000.0,4650.0,5675.0,6550.0,3300.0,4075.0,36507.0
Alaska Common Ground,92-1039013,,,,,,,,,,,775.0,775.0
Alaska Community Action on Toxics,92-0177082,,,,,,,,3050.0,3800.0,3250.0,3575.0,13675.0
Alaska Correctional Ministries Inc,26-1161661,,,,,,,,,2700.0,1475.0,1975.0,6150.0
Alaska Dog and Puppy Rescue,20-0332809,,17275.0,24475.0,41800.0,58425.0,57260.0,52375.0,60550.0,50054.4,39950.0,36275.0,438439.4
Alaska Engineering Education Foundation,92-0163845,,,,,900.0,1500.0,2125.0,2425.0,2497.0,1025.0,1575.0,12047.0
Alaska Equine Rescue,92-0135114,,,,3675.0,8153.0,10075.0,10700.0,14689.4,10900.0,7945.94,8225.0,74363.34
Alaska Family Services,92-0078235,,225.0,1150.0,2125.0,2500.0,3350.0,3250.0,3875.0,3436.0,2250.0,2600.0,24761.0
Alaska Farmland Trust,20-2860877,,,1100.0,2450.0,1900.0,,3625.0,3600.0,4872.0,6550.0,5825.0,29922.0
Alaska FFA Association,92-0147681,,,,,,,,,950.0,975.0,,1925.0
Alaska Fish and Wildlife Conservation Fund ,92-0092951,,,,,3250.0,,3575.0,6825.0,7350.0,7900.0,6225.0,35125.0
Alaska Fisheries Development Foundation Inc,92-0068881,,,,,,,,,1075.0,850.0,1000.0,2925.0
