,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Total
Alaska Rural Veterinary Outreach Inc,,,,,,,,,6622.0,8282.0,8418.0,23322.0
Alaska SeaLife Center,,,,11425.0,11328.0,17300.0,16800.0,23600.0,23066.0,18475.0,22700.0,144694.0
Alaska Search and Rescue Dogs,,,,4600.0,5453.0,6200.0,9025.0,12225.0,7922.0,7075.0,7050.0,59550.0
Alaska Songbird Institute,,,,,,,,,,2175.0,2225.0,4400.0
Alaska SPCA,,,,,,23955.0,32600.0,45150.0,46676.0,42750.0,43400.0,234531.0
Alaska State Troopers Law Enforcement Museum,,,,,,,475.0,1450.0,1425.0,,,3350.0
Alaska String Camps Inc,,,,,450.0,1200.0,,1550.0,1525.0,1650.0,875.0,7250.0
Alaska Theatre of Youth,,950.0,1150.0,2025.0,2675.0,1900.0,2175.0,1800.0,1775.0,1125.0,,15575.0
Alaska Trails,,2900.0,1600.0,4850.0,,,5200.0,6300.0,5344.0,4950.0,7825.0,38969.0
Alaska Veterans Museum,,,,1125.0,2000.0,2480.0,3325.0,5875.0,4275.0,3425.0,3650.0,26155.0
Alaska WildBird Rehabilitation Center,,,,,,4100.0,4925.0,5850.0,6022.0,5025.0,5650.0,31572.0
Alaska Wildlife Alliance,,,2200.0,,2025.0,2975.0,2925.0,2825.0,2797.0,2850.0,1850.0,20447.0
Alaska Wildlife Conservation Center,,,3850.0,6225.0,6853.0,8225.0,9675.0,11525.0,,9650.0,10225.0,66228.0
Alaska Youth and Family Network,,500.0,2475.0,725.0,825.0,550.0,975.0,1250.0,1022.0,1475.0,1214.61,11011.61
Alaska Youth Soccer,,,,,,,,,1400.0,,775.0,2175.0
Alaska Zoo,,4525.0,4850.0,10525.0,15801.0,14750.0,19350.0,33075.0,28979.4,20850.0,20225.0,172930.4
Alaskan AIDS Assistance Association Four As,,3775.0,4275.0,9225.0,9532.0,9230.0,10250.0,9250.0,10025.0,7950.0,8000.0,81512.0
Alaskan Aviation Safety Foundation,,,,,,1575.0,1200.0,1725.0,1672.0,800.0,900.0,7872.0
Alaskans For Life Inc,,,,,1577.0,750.0,825.0,2975.0,1450.0,800.0,1300.0,9677.0
Alaskas Extended Life Animal Sanctuary,,,,,,,3700.0,8525.0,6675.0,3850.0,4250.0,27000.0
Alaskas Healing Hearts,,,,,,,,,,900.0,875.0,1775.0
Aleut Foundation,,975.0,,1775.0,,1500.0,,,1150.0,1175.0,1825.0,8400.0
Alutiiq Museum and Archaeological Repository,,300.0,1425.0,2475.0,3450.0,4750.0,3300.0,3675.0,3000.0,2975.0,2575.0,27925.0
Alyeska Mighty Mites Ski Racing Program Inc,,,,,,1575.0,,1100.0,775.0,2250.0,525.0,6225.0
Alzheimers Resource of Alaska,,10150.0,3375.0,10200.0,16481.0,16825.0,18525.0,24200.0,22272.0,16575.0,16450.0,155053.0
