,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Total
Breast Cancer Detection Center of Alaska ,,,4350.0,7075.0,7603.0,7500.0,8300.0,9400.0,7125.0,5025.0,5025.0,61403.0
Bristol Bay Heritage Land Trust,,,,,,,1250.0,1750.0,1375.0,1050.0,1125.0,6550.0
Brother Francis Shelter Kodiak Inc,,,,,,,,,,3075.0,2900.0,5975.0
Bunnell Street Arts Center,,325.0,800.0,1300.0,2150.0,4625.0,3350.0,3825.0,2497.0,3438.35,2950.0,25260.35
Calypso Farm and Ecology Center,,1775.0,2850.0,5700.0,7575.0,6775.0,,,4675.0,2725.0,2150.0,34225.0
Camp Fire Alaska,,1425.0,1625.0,3275.0,5878.0,5250.0,7475.0,6550.0,6400.0,4475.0,4350.0,46703.0
Cancer Connection,,1000.0,3100.0,5225.0,8525.0,7125.0,7125.0,7750.0,6875.0,5075.0,6225.0,58025.0
Carol Brice Center ,,500.0,550.0,925.0,,,,1400.0,950.0,1450.0,525.0,6300.0
Castle Mountain Coalition ,,,,,,,,,1025.0,525.0,750.0,2300.0
Catholic Community Service Inc,,7150.0,10325.0,4600.0,9150.0,8175.0,,17600.0,15300.0,9650.0,10725.0,92675.0
Catholic Schools of Fairbanks,,,,,,,,,6047.0,6225.0,5525.0,17797.0
Catholic Social Services Brother Francis Shelter Clare House,,13875.0,16800.0,31425.0,43939.0,51069.0,75325.0,87900.0,74151.0,62600.0,54075.0,511159.0
CCS Early Learning,,1250.0,2175.0,3100.0,4425.0,4900.0,5400.0,8350.0,5475.0,3875.0,4950.0,43900.0
Center for Alaskan Coastal Studies,,400.0,375.0,1200.0,2803.0,,3150.0,3875.0,,2950.0,2800.0,17553.0
Central Peninsula Health Foundation,,200.0,,2075.0,428.0,650.0,,1950.0,1100.0,775.0,625.0,7803.0
Challenge Alaska,,1600.0,4175.0,6900.0,7575.0,9450.0,10975.0,12700.0,12201.4,9125.0,11075.0,85776.4
Chilkat Valley Community Foundation ACF,,2425.0,2700.0,3150.0,5025.0,4225.0,4025.0,3500.0,3625.0,4625.0,3625.0,36925.0
Chilkat Valley Preschool ,,400.0,375.0,750.0,1100.0,,1150.0,1425.0,1525.0,1300.0,925.0,8950.0
Chinook Montessori Charter School,,,,,,925.0,700.0,925.0,1050.0,500.0,25.0,4125.0
Christian Pilots Association Of Alaska ,,550.0,,,,1200.0,3275.0,3800.0,,550.0,600.0,9975.0
Chugiak Eagle River Historical Society,,,,500.0,450.0,425.0,400.0,750.0,525.0,625.0,700.0,4375.0
Chugiak Eagle River Senior Center,,175.0,1025.0,1900.0,3550.0,2950.0,2875.0,2750.0,2375.0,1650.0,2025.0,21275.0
Chugiak Volunteer Fire and Rescue Company Inc,,,,,,,,,2250.0,1550.0,1425.0,5225.0
Clausen Memorial Museum,,,,200.0,475.0,,,550.0,675.0,925.0,650.0,3475.0
Clear Creek Cat Rescue,,,,,,6416.0,9675.0,11675.0,11675.0,11875.0,12150.0,63466.0
Cold Climate Housing Research Center,,,,,,1200.0,1625.0,1650.0,1125.0,1175.0,1225.0,8000.0
Community Connections ,,5100.0,825.0,,1100.0,1175.0,1600.0,1825.0,1100.0,,525.0,13250.0
CoOccurring Disorders Institute Inc,,,,,,,100.0,,850.0,150.0,400.0,1500.0
Cook Inletkeeper,,3450.0,3275.0,7000.0,9578.0,10200.0,13275.0,15200.0,17822.0,16850.0,18000.0,114650.0
Cooper Landing Community Library,,,,,775.0,950.0,900.0,1325.0,1075.0,1050.0,1000.0,7075.0
Cooper Landing Emergency Services Inc,,,,,1450.0,1750.0,1650.0,2025.0,2025.0,1650.0,1225.0,11775.0
Copper Mountain Foundation,,,,,,,,50.0,50.0,75.0,,175.0
Copper River Hockey Club,,,,,,,1250.0,1500.0,925.0,725.0,650.0,5050.0
Copper River Watershed Project,,600.0,6550.0,,,2675.0,2400.0,,2850.0,1625.0,2800.0,19500.0
Covenant House Alaska,,19800.0,12500.0,33050.0,38229.0,40725.0,,52975.0,41849.0,29375.0,32475.0,300978.0
Crime Victim Compensation Fund,,,,,,,,,,,,
Crisis Pregnancy Center,,4025.0,4225.0,6875.0,11425.0,10625.0,11500.0,11625.0,9029.4,7100.0,5550.0,81979.4
Cross Country Alaska Inc,,,,,,,,,650.0,325.0,375.0,1350.0
Cyranos Theatre,,3050.0,1750.0,3000.0,4000.0,3475.0,,5150.0,4475.0,3400.0,2850.0,31150.0
Delta Library Association,,,,,,,,,600.0,,575.0,1175.0
Denali Arts Council,,1525.0,4675.0,6300.0,2275.0,2100.0,1950.0,3300.0,2200.0,1550.0,1675.0,27550.0
Denali Family Services,,,1725.0,2100.0,1475.0,1125.0,,,,,,6425.0
Discovery Southeast,,675.0,1625.0,4375.0,6300.0,5800.0,5925.0,8000.0,6725.0,4700.0,5525.0,49650.0
Downtown Hope Center,,2725.0,10500.0,9775.0,,14675.0,17225.0,20450.0,17969.0,12625.0,13900.0,119844.0
Doyon Foundation,,,,,5553.0,5705.0,5475.0,5375.48,5375.0,4000.0,3275.0,34758.48
Eagle River Nature Center,,,,,,,5100.0,7800.0,7869.0,6900.0,7450.0,35119.0
Easterseals,,,,,,425.0,,350.0,675.0,,,1450.0
Equine Assisted Therapy Alaska,,,,2500.0,,1825.0,,3925.0,3297.0,2725.0,1175.0,15447.0
Eyak Preservation Council,,,,,,,,,,200.0,275.0,475.0
Facing Foster Care in Alaska,,,,,,5050.0,7450.0,9425.0,,4850.0,7775.0,34550.0
Fairbanks Animal Shelter Fund,,5050.0,10225.0,15325.0,22050.0,24200.0,25839.27,31225.0,29850.0,25550.0,27675.0,216989.27
Fairbanks Arts Association,,,1675.0,,,,,,2147.0,1450.0,1675.0,6947.0
Fairbanks Childrens Museum,,,,,,,,,5772.0,4400.0,4600.0,14772.0
Fairbanks Community Band,,,,,825.0,1300.0,1100.0,1250.0,575.0,400.0,375.0,5825.0
Fairbanks Community Food Bank Service Inc,,10225.0,15975.0,,19956.0,27950.0,25725.0,31600.0,26947.0,23850.0,23275.0,205503.0
Fairbanks Concert Association,,525.0,,,,,,,1000.0,1050.0,750.0,3325.0
Fairbanks Dog Park Inc,,,1500.0,2800.0,2400.0,2550.0,2850.0,2825.0,,1250.0,1150.0,17325.0
Fairbanks Drama Association and Fairbanks Childrens Theatre Inc,,,,,,,,,,1300.0,825.0,2125.0
Fairbanks Library Foundation,,,,,,,6650.0,5750.0,,3175.0,2850.0,18425.0
Fairbanks Rescue Mission Inc,,1375.0,,,13178.0,,13775.0,22925.0,18419.0,15800.0,12450.0,97922.0
Fairbanks Resource Agency,,,,,,,,,,1475.0,2175.0,3650.0
Fairbanks Shakespeare Theatre,,,,,,,,,,,650.0,650.0
Fairbanks Summer Arts Festival,,,,,,,,,1200.0,1350.0,1375.0,3925.0
Fairbanks Symphony Orchestra,,,,,,,,,,550.0,425.0,975.0
Fairbanks Tennis Association,,25.0,75.0,450.0,,550.0,425.0,400.0,450.0,500.0,,2875.0
Family Promise MatSu,,1100.0,1850.0,3675.0,4550.0,,4600.0,4975.0,3525.0,2925.0,3450.0,30650.0
Farthest North Girl Scout Council,,,950.0,1950.0,1625.0,3200.0,1900.0,1550.0,,975.0,1150.0,13300.0
Fellowship In Serving Humanity FISH,,1350.0,2375.0,4500.0,,3750.0,3450.0,5450.0,4375.0,3525.0,4450.0,33225.0
Festival Fairbanks,,,,,,825.0,1300.0,975.0,,175.0,175.0,3450.0
Financial Reality Foundation,,,,,,,,,,,150.0,150.0
First Alaskans Institute,,1025.0,700.0,1000.0,1576.0,1550.0,2125.0,5275.0,2925.0,2900.0,,19076.0
First City Council on Cancer,,1000.0,800.0,1650.0,2475.0,1975.0,1675.0,2125.0,1525.0,1625.0,975.0,15825.0
First City Homeless Services Day Shelter ,,,,,,2200.0,1225.0,3025.0,4025.0,2275.0,2825.0,15575.0
First City Players ,,475.0,,2850.0,3054.0,4125.0,2850.0,,1575.0,1300.0,,16229.0
FOCUS Inc,,,,,,,,,,,,
Food Bank of Alaska,,62275.0,30825.0,55675.0,72089.0,69323.92,94575.0,98350.0,84754.0,65873.88,60525.0,694265.8
Four Valleys Community School Inc,,,875.0,1725.0,2750.0,3200.0,,4250.0,3850.0,3825.0,4275.0,24750.0
Friends of Alaska CASA,,4850.0,2550.0,2950.0,2300.0,3900.0,5350.0,5325.0,4375.0,3325.0,3325.0,38250.0
Friends of Creamers Field,,,,3350.0,3600.0,,6175.0,7325.0,7019.0,5425.0,7975.0,40869.0
Friends of Jensen Olson Arboretum,,,,,,,,1525.0,1775.0,850.0,975.0,5125.0
Friends of Kachemak Bay State Parks,,,,,,,,1225.0,2300.0,1650.0,1850.0,7025.0
Friends of McNeil River,,775.0,1050.0,2025.0,1975.0,,2425.0,2525.0,2475.0,2150.0,2000.0,17400.0
Friends of Pets,,9575.0,,40075.0,53281.0,45625.0,46226.8,54700.0,44500.0,34979.0,34025.0,362986.8
Friends of Sitka National Historical Park,,,,,,,,,,,,
Friends of Sitka Public Library Inc,,,,,,,,,,,,
Friends of the Alaska State Library Archives and Museum,,200.0,,,,975.0,1900.0,1825.0,2075.0,1175.0,1125.0,9275.0
Friends of the Campbell Creek Science Center,,175.0,1075.0,1500.0,2375.0,,3450.0,4200.0,1550.0,1650.0,1675.0,17650.0
Friends of the Chugach National Forest Avalanche Information Center,,,,,,9483.0,12325.0,13700.0,16844.0,19050.0,19600.0,91002.0
Friends of the Haines Borough Public Library,,1350.0,1800.0,2300.0,1750.0,1925.0,2250.0,2725.0,,1600.0,1700.0,17400.0
Friends of the Homer Public Library,,475.0,675.0,1075.0,,975.0,1975.0,2575.0,2850.0,2225.0,2575.0,15400.0
Friends of the Juneau Douglas City Museum,,,,,,,325.0,650.0,675.0,425.0,675.0,2750.0
Friends of the Kenai Community Library,,,175.0,,,,,,1075.0,875.0,1075.0,3200.0
Friends of The Ketchikan Public Library,,,,,,700.0,825.0,875.0,1050.0,800.0,775.0,5025.0
Friends of the Palmer Public Library,,,,1000.0,,1450.0,1375.0,2075.0,2100.0,950.0,1550.0,10500.0
Friends of the Sutton Library,,,,1525.0,,,1150.0,1700.0,2247.0,2025.0,1775.0,10422.0
Friends of the Talkeetna Library,,,,,,4000.0,4100.0,5050.0,3225.0,3325.0,3450.0,23150.0
Friends of the Valdez Animal Shelter,,,,,2625.0,,2025.0,650.0,1700.0,,650.0,7650.0
Friends of Zach Gordon Youth Center Inc,,,,,,1725.0,1650.0,2700.0,,1850.0,1575.0,9500.0
Frontline Mission,,,,,,,1600.0,3553.8,,1624.0,3300.0,10077.8
Georgeson Botanical Garden Society,,,,4600.0,3084.0,4000.0,3350.0,,3450.0,2775.0,2525.0,23784.0
Girdwood  Fine Arts Camp,,225.0,,500.0,,,,,400.0,,1000.0,2125.0
Girdwood Health Clinic Inc,,,,,,,,,1200.0,650.0,1225.0,3075.0
Girdwood Nordic Ski Club,,,,,,,,,1100.0,1650.0,1625.0,4375.0
Girl Scouts of Alaska,,2225.0,2625.0,5500.0,7375.0,,8450.0,12050.0,8547.0,5825.0,6100.0,58697.0
Girls on the Run Southcentral Alaska,,,,,,,,,,,,
Glacier City Radio KEUL,,,,,,,,,2000.0,1600.0,1750.0,5350.0
Golden Heart Christian School,,,,,,,,,,,425.0,425.0
Golden Heart Community Foundation ACF,,,,,,,2300.0,1475.0,1850.0,925.0,600.0,7150.0
Golden Retriever Rescue of Fairbanks,,,,,,3425.0,,3000.0,,2725.0,2600.0,11750.0
Great Alaska Council Boy Scouts of America,,375.0,500.0,,4055.0,6225.0,5300.0,10675.0,9991.0,6700.0,7425.0,51246.0
Great Land Trust,,,,,2200.0,3075.0,5350.0,7950.0,6497.0,6925.0,6150.0,38147.0
Greater Fairbanks Community Hospital Foundation Inc,,1225.0,725.0,1925.0,,,1300.0,,675.0,2100.0,,7950.0
Greater Sitka Legacy Fund ACF,,,,,,,1500.0,1600.0,900.0,775.0,1350.0,6125.0
Green Star of Interior Alaska,,750.0,1300.0,1875.0,1575.0,2225.0,3100.0,3700.0,5197.0,5250.0,3700.0,28672.0
Habitat for Humanity ,,2075.0,9950.0,9250.0,9531.0,10800.0,14650.0,15700.0,10016.0,8543.0,7700.0,98215.0
Habitat For Humanity  MAT SU,,,,,,1875.0,2375.0,2200.0,2400.0,1300.0,1100.0,11250.0
Haines Animal Rescue Kennel  HARK,,1025.0,3750.0,3175.0,2950.0,4025.0,4375.0,4450.0,4225.0,4550.0,5325.0,37850.0
Haven House,,1000.0,1075.0,1450.0,3225.0,1875.0,,5700.0,6675.0,4150.0,6325.0,31475.0
Healing Hand Foundation,,375.0,,600.0,825.0,,,,,850.0,,2650.0
Healthy Futures,,,,,,825.0,2375.0,,1572.0,1800.0,1900.0,8472.0
Heart to Heart Pregnancy Resource Center,,,,,,,,,2150.0,2275.0,1875.0,6300.0
HeartReach Center ,,900.0,1600.0,,2400.0,4200.0,,,3600.0,2150.0,2825.0,17675.0
Help Me Grow Alaska a program of the All Alaska Pediatric Partnership,,,,,,,,,,,,
Helping Hands,,725.0,1225.0,1750.0,2050.0,2475.0,2525.0,2775.0,2000.0,1375.0,1650.0,18550.0
Homer Animal Friends,,,2475.0,2950.0,,3850.0,5825.0,6150.0,5325.0,4450.0,5975.0,37000.0
Homer Council on the Arts,,25.0,450.0,850.0,1250.0,1500.0,1775.0,2250.0,2325.0,1625.0,1350.0,13400.0
Homer Food Pantry,,,2500.0,,4853.0,4725.0,8000.0,7750.0,8022.0,8425.0,,44275.0
Homer Foundation,,900.0,6050.0,4800.0,5151.0,7975.0,11700.0,10725.0,8622.0,6275.0,6975.0,69173.0
Homer Hockey Association ,,,,,,,,,2700.0,1725.0,2425.0,6850.0
